LLM_score,date,company
0,2022-10-18T09:06:00+00:00,The Kraft Heinz Company Common Stock
0,2022-10-18T09:06:00+00:00,Walgreens Boots Alliance Inc
0,2022-10-18T09:09:09+00:00,Steel Dynamics Inc
0,2022-10-18T09:15:00+00:00,PepsiCo Inc
0,2022-10-18T09:21:00+00:00,Etsy Inc
0,2022-10-18T09:21:00+00:00,Novavax Inc
1,2022-10-18T09:22:09+00:00,Business First Bancshares Inc
1,2022-10-18T09:22:09+00:00,NBT Bancorp Inc
0,2022-10-18T09:25:00+00:00,PubMatic Inc
0,2022-10-18T09:30:00+00:00,Starbucks Corporation Common Stock
1,2022-10-18T09:31:00+00:00,Moderna Inc
0,2022-10-18T09:33:09+00:00,Allied Motion Technologies Inc
0,2022-10-18T09:40:00+00:00,Activision Blizzard Inc
0,2022-10-18T09:40:00+00:00,Take-Two Interactive Software Inc
0,2022-10-18T09:45:00+00:00,HighPeak Energy Inc
1,2022-10-18T09:50:00+00:00,PepsiCo Inc
0,2022-10-18T09:52:00+00:00,Moderna Inc
0,2022-10-18T09:55:00+00:00,Erie Indemnity Company Class A Common Stock
0,2022-10-18T10:00:00+00:00,Advanced Energy Industries Inc
1,2022-10-18T10:00:00+00:00,AppTech Payments Corp
1,2022-10-18T10:00:00+00:00,Commerce Bancshares Inc
1,2022-10-18T10:00:00+00:00,IDEAYA Biosciences Inc
1,2022-10-18T10:00:00+00:00,Illumina Inc
0,2022-10-18T10:01:00+00:00,FARO Technologies Inc
0,2022-10-18T10:02:10+00:00,Autodesk Inc
1,2022-10-18T10:07:02+00:00,Haynes International Inc
0,2022-10-18T10:13:00+00:00,Etsy Inc
